Date,Open,High,Low,Close,Adj Close,Volume
2001-01-02,7.375000,7.468750,7.250000,7.390625,6.700204,656000
2001-01-03,7.359375,8.000000,7.359375,7.984375,7.238485,1371600
2001-01-04,7.906250,8.500000,7.906250,8.500000,7.705943,2179600
2001-01-05,8.500000,8.515625,8.328125,8.453125,7.663446,1447200
2001-01-08,8.500000,8.812500,8.359375,8.468750,7.677611,1600400
2001-01-09,8.187500,8.187500,7.703125,7.734375,7.011842,2403200
2001-01-10,7.718750,7.718750,7.531250,7.718750,6.997675,936800
2001-01-11,7.734375,7.812500,7.484375,7.546875,6.841856,826800
2001-01-12,7.546875,7.562500,7.312500,7.468750,6.771032,1048400
2001-01-16,7.484375,7.500000,7.421875,7.500000,6.799362,465200
2001-01-17,7.468750,7.484375,7.328125,7.375000,6.686038,310800
2001-01-18,7.375000,7.500000,7.296875,7.453125,6.756865,512800
2001-01-19,7.437500,7.500000,7.406250,7.500000,6.799362,694800
2001-01-22,7.437500,7.609375,7.375000,7.578125,6.870188,498000
2001-01-23,7.578125,8.046875,7.531250,8.046875,7.295148,1103200
2001-01-24,8.015625,8.093750,7.625000,7.625000,6.912683,474000
2001-01-25,7.593750,7.984375,7.593750,7.890625,7.153494,412800
2001-01-26,7.640625,7.796875,7.578125,7.593750,6.884353,682000
2001-01-29,7.600000,7.830000,7.590000,7.800000,7.071336,500400
2001-01-30,7.837500,7.950000,7.762500,7.950000,7.207322,333200
2001-01-31,7.937500,8.150000,7.937500,8.085000,7.329711,614400
2001-02-01,8.075000,8.087500,7.900000,7.995000,7.248119,342800
2001-02-02,7.995000,8.157500,7.975000,8.075000,7.320646,520400
2001-02-05,8.112500,8.250000,8.095000,8.220000,7.452100,471200
2001-02-06,8.187500,8.412500,8.187500,8.327500,7.549558,597600
2001-02-07,8.275000,8.322500,8.250000,8.290000,7.515562,297600
2001-02-08,8.237500,8.250000,7.987500,8.120000,7.361442,352400
2001-02-09,8.100000,8.100000,7.915000,7.965000,7.220921,283200
2001-02-12,7.925000,8.072500,7.917500,7.975000,7.229987,283200
2001-02-13,7.975000,7.987500,7.910000,7.962500,7.218655,244400
2001-02-14,7.960000,7.960000,7.912500,7.932500,7.191458,281200
2001-02-15,7.900000,7.912500,7.725000,7.800000,7.071336,1098000
2001-02-16,7.750000,7.762500,7.537500,7.615000,6.903617,680000
2001-02-20,7.612500,7.635000,7.247500,7.250000,6.572716,889600
2001-02-21,7.287500,7.372500,7.250000,7.280000,6.599914,752800
2001-02-22,7.277500,7.277500,7.100000,7.212500,6.538718,1023600
2001-02-23,7.212500,7.212500,7.015000,7.125000,6.459393,530400
2001-02-26,7.112500,7.400000,7.112500,7.397500,6.706437,566000
2001-02-27,7.387500,7.387500,7.187500,7.255000,6.577249,411600
2001-02-28,7.255000,7.350000,7.035000,7.145000,6.477524,556400
2001-03-01,7.025000,7.027500,6.600000,6.825000,6.187417,1275200
2001-03-02,6.775000,7.097500,6.750000,7.060000,6.400465,624000
2001-03-05,7.060000,7.060000,6.912500,6.965000,6.314340,1010800
2001-03-06,6.987500,7.025000,6.862500,7.025000,6.368735,1748800
2001-03-07,7.000000,7.062500,6.900000,7.060000,6.400465,585600
2001-03-08,7.060000,7.250000,7.055000,7.212500,6.538718,712800
2001-03-09,7.162500,7.162500,7.062500,7.112500,6.448061,601200
2001-03-12,7.075000,7.122500,7.000000,7.000000,6.346069,607200
2001-03-13,6.875000,7.095000,6.862500,7.095000,6.432195,1092000
2001-03-14,7.032500,7.032500,6.850000,6.937500,6.289409,1005200
2001-03-15,6.875000,6.962500,6.875000,6.900000,6.255411,375600
2001-03-16,6.837500,6.862500,6.662500,6.672500,6.049165,951600
2001-03-19,6.672500,6.687500,6.412500,6.437500,5.836117,1908000
2001-03-20,6.500000,6.537500,6.475000,6.490000,5.883714,1131200
2001-03-21,6.437500,6.500000,6.325000,6.370000,5.774923,527600
2001-03-22,6.375000,6.375000,6.100000,6.262500,5.677467,522800
2001-03-23,6.325000,6.387500,6.287500,6.387500,5.790790,855600
2001-03-26,6.337500,6.627500,6.335000,6.575000,5.960773,1237600
2001-03-27,6.625000,6.625000,6.425000,6.537500,5.926776,797200
2001-03-28,6.537500,6.537500,6.350000,6.455000,5.851983,340400
2001-03-29,6.455000,6.565000,6.307500,6.362500,5.768125,503200
2001-03-30,6.312500,6.467500,6.312500,6.425000,5.824786,556000
2001-04-02,6.425000,6.462500,6.260000,6.312500,5.722795,969600
2001-04-03,6.275000,6.295000,6.187500,6.277500,5.691064,847200
2001-04-04,6.277500,6.400000,6.225000,6.372500,5.777190,720000
2001-04-05,6.425000,6.500000,6.362500,6.487500,5.881447,459200
2001-04-06,6.437500,6.437500,6.240000,6.275000,5.688798,561200
2001-04-09,6.287500,6.402500,6.150000,6.255000,5.670667,740000
2001-04-10,6.275000,6.632500,6.250000,6.552500,5.940374,502400
2001-04-11,6.600000,6.600000,6.387500,6.525000,5.915443,408000
2001-04-12,6.500000,6.575000,6.350000,6.512500,5.904112,430800
2001-04-16,6.550000,6.600000,6.462500,6.530000,5.919977,430000
2001-04-17,6.550000,6.662500,6.507500,6.637500,6.017434,399200
2001-04-18,6.717500,7.047500,6.675000,6.775000,6.142089,730800
2001-04-19,6.925000,7.050000,6.662500,6.997500,6.343804,916400
2001-04-20,6.975000,6.975000,6.700000,6.842500,6.203284,302400
2001-04-23,6.780000,6.800000,6.650000,6.750000,6.119424,1098400
2001-04-24,6.737500,6.742500,6.675000,6.705000,6.078628,426400
2001-04-25,6.705000,6.812500,6.690000,6.747500,6.117157,617200
2001-04-26,6.737500,6.975000,6.717500,6.875000,6.232748,1072400
2001-04-27,6.877500,7.125000,6.877500,7.072500,6.411796,540800
2001-04-30,7.072500,7.230000,7.037500,7.037500,6.380066,572800
2001-05-01,7.040000,7.040000,6.977500,6.985000,6.332471,432800
2001-05-02,6.985000,7.077500,6.950000,7.047500,6.389134,478800
2001-05-03,7.050000,7.130000,6.865000,7.100000,6.436729,353600
2001-05-04,7.100000,7.157500,7.000000,7.155000,6.486590,534800
2001-05-07,7.155000,7.350000,7.150000,7.250000,6.572716,622000
2001-05-08,7.212500,7.250000,7.050000,7.175000,6.504723,502000
2001-05-09,7.225000,7.362500,7.157500,7.162500,6.493390,259200
2001-05-10,7.250000,7.250000,7.130000,7.192500,6.520588,187600
2001-05-11,7.195000,7.195000,7.022500,7.117500,6.452593,311200
2001-05-14,7.115000,7.155000,7.062500,7.142500,6.475257,147200
2001-05-15,7.142500,7.142500,6.787500,6.872500,6.230480,1004800
2001-05-16,6.875000,7.000000,6.862500,6.985000,6.332471,413600
2001-05-17,7.025000,7.175000,7.022500,7.175000,6.504723,609200
2001-05-18,7.125000,7.245000,7.120000,7.150000,6.482057,263200
2001-05-21,7.175000,7.225000,7.157500,7.197500,6.525120,193600
2001-05-22,7.197500,7.375000,7.165000,7.367500,6.679238,629200
2001-05-23,7.370000,7.375000,7.187500,7.220000,6.545517,358400
2001-05-24,7.162500,7.220000,7.062500,7.150000,6.482057,246400
2001-05-25,7.150000,7.200000,7.090000,7.192500,6.520588,262000
2001-05-29,7.175000,7.275000,7.045000,7.225000,6.550052,299600
2001-05-30,7.227500,7.227500,7.065000,7.107500,6.443528,214000
2001-05-31,7.150000,7.212500,7.075000,7.182500,6.511521,270000
2001-06-01,7.150000,7.150000,6.990000,7.005000,6.350604,477600
2001-06-04,6.975000,7.050000,6.975000,7.022500,6.366469,178000
2001-06-05,7.000000,7.090000,6.925000,7.065000,6.404997,648800
2001-06-06,7.050000,7.067500,7.002500,7.005000,6.350604,232400
2001-06-07,6.962500,7.025000,6.962500,6.987500,6.334738,384400
2001-06-08,6.987500,7.057500,6.962500,6.995000,6.341537,445200
2001-06-11,6.975000,7.012500,6.972500,6.972500,6.321140,300800
2001-06-12,6.937500,6.950000,6.790000,6.825000,6.187417,281200
2001-06-13,6.812500,6.952500,6.812500,6.927500,6.280344,178400
2001-06-14,6.917500,6.920000,6.872500,6.872500,6.230480,451600
2001-06-15,6.812500,6.862500,6.705000,6.705000,6.078628,438000
2001-06-18,6.762500,6.822500,6.700000,6.790000,6.155688,255200
2001-06-19,6.762500,6.775000,6.635000,6.665000,6.042366,415200
2001-06-20,6.612500,6.612500,6.500000,6.540000,5.929043,546400
2001-06-21,6.500000,6.632500,6.487500,6.575000,5.960773,540400
2001-06-22,6.575000,6.657500,6.512500,6.610000,5.992504,275600
2001-06-25,6.937500,6.937500,6.450000,6.457500,5.854250,1088000
2001-06-26,6.350000,6.590000,6.350000,6.565000,5.951706,476000
2001-06-27,6.567500,6.887500,6.567500,6.865000,6.223681,589600
2001-06-28,6.865000,7.037500,6.860000,6.955000,6.305274,714800
2001-06-29,6.937500,7.225000,6.922500,7.225000,6.550052,622800
2001-07-02,7.162500,7.262500,7.100000,7.200000,6.527387,598800
2001-07-03,7.187500,7.235000,7.140000,7.170000,6.500187,203600
2001-07-05,7.137500,7.175000,7.075000,7.162500,6.493390,268000
2001-07-06,7.162500,7.162500,7.032500,7.050000,6.391398,342000
2001-07-09,7.050000,7.250000,7.037500,7.150000,6.482057,350800
2001-07-10,7.275000,7.452500,7.262500,7.325000,6.640708,970800
2001-07-11,7.312500,7.400000,7.275000,7.350000,6.663374,612800
2001-07-12,7.355000,7.497500,7.330000,7.495000,6.794828,746800
2001-07-13,7.462500,7.682500,7.437500,7.682500,6.964812,502800
2001-07-16,7.682500,7.875000,7.682500,7.827500,7.096267,1522800
2001-07-17,7.827500,7.875000,7.812500,7.830000,7.098534,907200
2001-07-18,7.812500,7.827500,7.630000,7.652500,6.937614,1230000
2001-07-19,7.700000,7.907500,7.675000,7.700000,6.980678,1346400
2001-07-20,7.700000,8.025000,7.680000,7.887500,7.150661,1033200
2001-07-23,7.950000,8.100000,7.760000,7.787500,7.060003,878000
2001-07-24,7.795000,7.967500,7.660000,7.695000,6.976144,1036800
2001-07-25,7.650000,7.812500,7.622500,7.700000,6.980678,494000
2001-07-26,7.700000,7.750000,7.620000,7.717500,6.996542,378000
2001-07-27,7.737500,7.782500,7.625000,7.660000,6.944414,605200
2001-07-30,7.687500,7.787500,7.600000,7.645000,6.930816,343200
2001-07-31,7.645000,7.955000,7.645000,7.910000,7.171060,690000
2001-08-01,7.912500,8.125000,7.900000,8.037500,7.286648,586400
2001-08-02,8.037500,8.050000,7.937500,8.015000,7.266251,605200
